epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.772,0.9945,2.36055,1.08313,0.00317,0.95,0.48664,0.3094,1.08781,3.75674,1.25239,0.00052,0.00052,0.00052
2,295.349,0.93228,1.44969,1.00662,1,0.32438,0.70778,0.54223,1.13678,3.50606,1.40212,0.00104951,0.00104951,0.00104951
3,446.735,0.92304,1.28357,1.01593,0.89663,0.6,0.73105,0.46853,1.45705,2.75783,1.70556,0.00156832,0.00156832,0.00156832
4,592.435,0.96711,1.28075,1.0718,0.50314,0.6,0.53912,0.32153,1.36158,2.75033,1.57069,0.0019406,0.0019406,0.0019406
5,716.041,0.92505,1.08855,1.02969,0.48713,0.75,0.59372,0.39158,1.23437,2.41416,1.35352,0.0019208,0.0019208,0.0019208
6,840.02,0.92228,1.00071,1.03681,0.47167,0.4,0.41146,0.3043,1.19248,2.8068,1.37807,0.001901,0.001901,0.001901
7,983.458,0.86781,0.88357,0.9932,0.92168,0.75,0.82304,0.55708,1.11772,1.49706,1.26374,0.0018812,0.0018812,0.0018812
8,1121.54,0.89532,0.86164,1.007,0.73751,0.75,0.79896,0.53878,1.09565,1.46916,1.17604,0.0018614,0.0018614,0.0018614
9,1247.63,0.86453,0.79446,1.00122,0.92283,0.75,0.81038,0.59169,1.04377,1.32188,1.20747,0.0018416,0.0018416,0.0018416
