epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,91.8041,0.43928,0.85449,0.99206,0.93358,1,0.995,0.8955,0.39006,1.67132,0.69281,0.000493898,0.000493898,0.000493898
45,93.7824,0.59809,1.16272,0.97595,0.96088,1,0.995,0.8955,0.4741,1.60263,0.80718,0.000496672,0.000496672,0.000496672
46,95.6796,0.61664,0.90204,1.04762,0.96088,1,0.995,0.8955,0.4741,1.60263,0.80718,0.00049905,0.00049905,0.00049905
47,97.7062,0.56439,0.91705,0.97389,0.96545,1,0.995,0.8955,0.55044,1.65879,1.05598,0.000501032,0.000501032,0.000501032
48,99.7064,0.6628,1.10006,1.13461,0.96545,1,0.995,0.8955,0.55044,1.65879,1.05598,0.000502618,0.000502618,0.000502618
49,101.649,0.46852,1.07478,1.07927,0.95857,1,0.995,0.8955,0.55427,1.42587,1.24853,0.000503808,0.000503808,0.000503808
50,103.539,0.44851,0.78452,0.87277,0.95857,1,0.995,0.8955,0.55427,1.42587,1.24853,0.000504602,0.000504602,0.000504602
51,105.56,0.71392,0.8525,1.03392,0.96754,1,0.995,0.8955,0.57979,1.54534,1.20787,0.000505,0.000505,0.000505
52,107.54,0.34554,1.10929,0.93852,0.96754,1,0.995,0.8955,0.57979,1.54534,1.20787,0.000505002,0.000505002,0.000505002
53,109.422,0.42331,1.13351,0.99963,0.96754,1,0.995,0.8955,0.57979,1.54534,1.20787,0.000504608,0.000504608,0.000504608
54,111.407,0.5828,0.90083,1.00262,0.95263,1,0.995,0.8955,0.5693,1.68349,1.03798,0.000503818,0.000503818,0.000503818
55,113.309,0.7127,0.94742,1.05944,0.95263,1,0.995,0.8955,0.5693,1.68349,1.03798,0.000502632,0.000502632,0.000502632
56,115.238,0.57155,0.80366,1.03091,0.95263,1,0.995,0.8955,0.5693,1.68349,1.03798,0.00050105,0.00050105,0.00050105
57,117.235,0.87985,1.07633,1.4415,0.93629,1,0.995,0.8955,0.55403,1.63089,0.86535,0.000499072,0.000499072,0.000499072
58,119.248,0.34157,0.77692,0.92799,0.93629,1,0.995,0.8955,0.55403,1.63089,0.86535,0.000496698,0.000496698,0.000496698
59,121.234,0.87656,1.07301,1.14071,0.93629,1,0.995,0.8955,0.55403,1.63089,0.86535,0.000493928,0.000493928,0.000493928
60,123.206,0.3509,0.94919,0.8432,0.95108,1,0.995,0.8955,0.57986,1.65132,0.81275,0.000490762,0.000490762,0.000490762
61,125.147,0.65394,1.47065,1.09406,0.95108,1,0.995,0.8955,0.57986,1.65132,0.81275,0.0004872,0.0004872,0.0004872
62,127.123,0.7739,1.3315,1.33806,0.95108,1,0.995,0.8955,0.57986,1.65132,0.81275,0.000483242,0.000483242,0.000483242
63,129.275,0.63712,0.78139,1.04057,0.95307,1,0.995,0.8955,0.52238,1.59819,0.75083,0.000478888,0.000478888,0.000478888
64,131.222,0.56429,0.85093,0.95151,0.95307,1,0.995,0.8955,0.52238,1.59819,0.75083,0.000474138,0.000474138,0.000474138
65,133.187,0.64312,0.80488,1.00593,0.95307,1,0.995,0.8955,0.52238,1.59819,0.75083,0.000468992,0.000468992,0.000468992
66,135.342,0.37567,0.84369,1.05059,0.9454,1,0.995,0.8955,0.45888,1.65831,0.71278,0.00046345,0.00046345,0.00046345
67,137.245,0.45135,0.88643,1.06927,0.9454,1,0.995,0.8955,0.45888,1.65831,0.71278,0.000457512,0.000457512,0.000457512
68,139.341,0.66532,0.84094,0.94573,0.9454,1,0.995,0.8955,0.45888,1.65831,0.71278,0.000451178,0.000451178,0.000451178
69,141.366,0.38449,0.7166,0.95062,0.94055,1,0.995,0.8955,0.53683,1.83872,0.83494,0.000444448,0.000444448,0.000444448
70,143.288,0.46023,0.72156,0.9812,0.94055,1,0.995,0.8955,0.53683,1.83872,0.83494,0.000437322,0.000437322,0.000437322
71,145.267,0.39176,0.73367,1.01681,0.94055,1,0.995,0.8955,0.53683,1.83872,0.83494,0.0004298,0.0004298,0.0004298
72,147.274,0.65278,0.83696,1.10294,0.93963,1,0.995,0.796,0.75679,2.04838,1.25394,0.000421882,0.000421882,0.000421882
73,149.15,0.6149,0.93246,1.07889,0.93963,1,0.995,0.796,0.75679,2.04838,1.25394,0.000413568,0.000413568,0.000413568
74,151.191,0.75188,1.15728,1.61039,0.93963,1,0.995,0.796,0.75679,2.04838,1.25394,0.000404858,0.000404858,0.000404858
75,153.205,0.45425,0.67373,0.93569,0.9408,1,0.995,0.5572,0.99772,2.12846,1.90908,0.000395752,0.000395752,0.000395752
76,155.145,0.66351,0.90704,1.15386,0.9408,1,0.995,0.5572,0.99772,2.12846,1.90908,0.00038625,0.00038625,0.00038625
77,157.039,0.54614,0.88379,1.00318,0.9408,1,0.995,0.5572,0.99772,2.12846,1.90908,0.000376352,0.000376352,0.000376352
78,159.193,0.60334,1.13259,1.0171,0.95637,1,0.995,0.796,0.88275,1.84718,1.41354,0.000366058,0.000366058,0.000366058
79,161.132,0.61269,0.98876,1.12467,0.95637,1,0.995,0.796,0.88275,1.84718,1.41354,0.000355368,0.000355368,0.000355368
80,163.124,0.52366,0.84851,0.9967,0.95637,1,0.995,0.796,0.88275,1.84718,1.41354,0.000344282,0.000344282,0.000344282
81,165.107,0.44326,0.82365,0.92429,0.9617,1,0.995,0.8955,0.52761,1.73665,1.01323,0.0003328,0.0003328,0.0003328
82,167.162,0.59203,0.87602,0.954,0.9617,1,0.995,0.8955,0.52761,1.73665,1.01323,0.000320922,0.000320922,0.000320922
83,169.218,0.53221,0.83185,1.05209,0.9617,1,0.995,0.8955,0.52761,1.73665,1.01323,0.000308648,0.000308648,0.000308648
84,171.277,0.55681,0.69332,1.0362,0.95844,1,0.995,0.8955,0.48002,1.73479,0.88303,0.000295978,0.000295978,0.000295978
85,173.219,0.35124,0.79557,0.84504,0.95844,1,0.995,0.8955,0.48002,1.73479,0.88303,0.000282912,0.000282912,0.000282912
86,175.061,0.38793,0.71203,0.88486,0.95844,1,0.995,0.8955,0.48002,1.73479,0.88303,0.00026945,0.00026945,0.00026945
87,176.972,0.5788,0.74233,0.94747,0.95844,1,0.995,0.8955,0.48002,1.73479,0.88303,0.000255592,0.000255592,0.000255592
88,178.954,0.45436,0.74803,0.94384,0.9589,1,0.995,0.8955,0.40569,1.61827,0.74938,0.000241338,0.000241338,0.000241338
89,180.892,0.5362,1.26834,1.05022,0.9589,1,0.995,0.8955,0.40569,1.61827,0.74938,0.000226688,0.000226688,0.000226688
90,182.984,0.46705,0.85001,1.0121,0.9589,1,0.995,0.8955,0.40569,1.61827,0.74938,0.000211642,0.000211642,0.000211642
91,184.973,0.39416,1.01258,0.94509,0.9589,1,0.995,0.8955,0.40569,1.61827,0.74938,0.0001962,0.0001962,0.0001962
92,187.115,0.37992,1.35702,0.922,0.9656,1,0.995,0.995,0.33451,1.44477,0.67532,0.000180362,0.000180362,0.000180362
93,189.068,0.29584,0.93574,0.85721,0.9656,1,0.995,0.995,0.33451,1.44477,0.67532,0.000164128,0.000164128,0.000164128
94,191.032,0.33791,1.1182,0.90542,0.9656,1,0.995,0.995,0.33451,1.44477,0.67532,0.000147498,0.000147498,0.000147498
95,192.984,0.38376,1.1656,0.83277,0.9656,1,0.995,0.995,0.33451,1.44477,0.67532,0.000130472,0.000130472,0.000130472
96,195.146,0.3538,1.14388,0.95131,0.96885,1,0.995,0.995,0.30558,1.37317,0.63118,0.00011305,0.00011305,0.00011305
97,197.039,0.32685,0.99213,0.87284,0.96885,1,0.995,0.995,0.30558,1.37317,0.63118,9.5232e-05,9.5232e-05,9.5232e-05
98,199.059,0.71515,1.49028,1.12059,0.96885,1,0.995,0.995,0.30558,1.37317,0.63118,7.7018e-05,7.7018e-05,7.7018e-05
99,200.982,0.32618,1.07186,0.9232,0.96885,1,0.995,0.995,0.30558,1.37317,0.63118,5.8408e-05,5.8408e-05,5.8408e-05
100,202.99,0.44386,1.17115,1.03815,0.97047,1,0.995,0.995,0.29053,1.28355,0.61464,3.9402e-05,3.9402e-05,3.9402e-05
